Domain,Address Type,IP Address,Country,Region,City,Latitude,Longitude,Timezone,ISP,Organization,AS,Timestamp
www.aiims.edu,IPv4,203.115.96.82,India,National Capital Territory of Delhi,Delhi,28.6542,77.2373,Asia/Kolkata,PRIMENET,Primenet Global Ltd.,AS17426 Primesoftex Ltd,2024-10-15 10:33:41
www.aiims.edu,IPv6,64:ff9b::cb73:6052,,,,0,0,,,,,2024-10-15 10:33:43
