Domain,Address Type,IP Address,Ping_1_RTT(ms),Ping_2_RTT(ms),Ping_3_RTT(ms),Ping_4_RTT(ms),Ping_5_RTT(ms),Ping_6_RTT(ms),Ping_7_RTT(ms),Ping_8_RTT(ms),Ping_9_RTT(ms),Ping_10_RTT(ms)
www.aiims.edu,IPv4,203.115.96.82,77.0,71.0,103.0,73.0,50.7,66.5,73.8,69.5,55.9,52.5
www.aiims.edu,IPv6,64:ff9b::cb73:6052,,,,,,,,,,
